2,0.06,215.82,100
1.4,16.16,215.76,99.9721990548
1,47.48,199.6,92.4844778056
0.71,25.07,152.12,70.4846631452
0.5,47.08,127.05,58.8685015291
0.355,61.59,79.97,37.0540265036
0.25,16.43,18.38,8.5163562228
0.18,1.86,1.95,0.90353072
0.125,0.06,0.09,0.0417014178
0.09,0,0.03,0.0139004726
0.075,0,0.03,0.0139004726
0.063,0,0.03,0.0139004726
0.045,0.02,0.03,0.0139004726
0.038,0.01,0.01,0.0046334909
0,0,0,0
